rPRS_gamma_05,ePRS_gamma_05,rPRS_gamma_1,ePRS_gamma_1,rPRS_gamma_15,ePRS_gamma_15
1.423872579,-31.22842541,0.81133272,-60.02190346,1.328008931,-87.160174
1.46468752,-35.0043551,1.654462425,-62.9584305,1.595520109,-96.19996898
1.63583058,-40.77850517,1.461500258,-83.62250463,1.748118294,-125.4006429
1.596594461,-30.37019042,1.928389995,-61.46109409,1.700659998,-91.92259497
1.155339297,-34.50350106,1.309147146,-69.36485644,1.552973325,-106.2625737
1.623686563,-35.94514074,0.721584428,-76.66850919,0.80037437,-117.3194315
0.996856571,-31.30080798,1.609557867,-64.68913497,1.021273189,-104.4511094
1.278705233,-41.85546756,1.355830698,-82.96304175,0.904715973,-118.3953694
1.374551245,37.1521384,1.675966762,71.60446095,0.952878323,105.321544
1.40386968,-33.00222678,1.84030779,-65.15816543,1.101076964,-109.9009314
1.716925392,-37.00349232,1.411648895,-72.75879722,2.184446269,-117.1452948
1.479860819,-26.28655318,0.636905962,-61.58669516,-0.029055843,-96.4895284
1.41721603,39.08670694,1.638675271,74.16789258,0.869625998,113.1964359
1.602216716,-37.33715211,1.63295792,-70.85961028,1.71042094,-107.4007543
1.46402885,-27.13155908,1.509258997,-58.96608585,2.009848166,-88.95024724
1.872318715,34.17821726,1.50739307,62.17916308,1.782901141,99.62220457
1.496934838,-28.05574768,1.371043767,-58.42485008,2.050403413,-83.03662415
1.433177393,-33.85653425,1.452028217,-63.75976049,2.357520476,-99.67859945
1.505198886,-39.12292679,2.174387846,-84.66292547,1.797511998,-121.4071239
1.387602069,-30.33405916,2.20415204,-61.42619698,1.36837302,-90.5709911
1.43691086,-36.55467354,2.040074922,-74.912937,2.030717948,-111.450631
1.108597446,40.37839054,2.088972384,78.44217835,2.265740236,118.8569069
1.044606761,-37.20969862,1.398592949,-79.98931119,1.118075684,-118.7734914
1.293913369,-27.04005337,0.796054562,-57.56137206,0.020318117,-87.88274104
1.971557787,-34.82974343,1.118000745,-72.57735386,1.780003854,-110.3692839
2.057877412,-43.34606631,1.567743223,-87.23057469,1.640926664,-135.0573432
1.586714087,34.81545464,1.416789277,61.55170221,1.358564159,89.79726565
1.843454032,-34.43706523,2.345143519,-73.00830823,1.880798248,-112.9011026
2.3400608,-34.44886338,2.053032046,-68.66822032,2.381450886,-98.91170836
1.244655085,-37.43294447,0.758586844,-77.21109948,0.406478471,-117.0324164
1.429977276,-37.41882825,1.961525025,-81.43972538,0.959620958,-117.8854313
1.478382775,-41.71669039,1.643758772,-79.23333907,1.178535775,-124.1907759
1.919071859,-40.43227264,0.463455708,-83.05453201,0.935100648,-120.9332061
1.253407878,-30.96045079,2.08027977,-64.9498984,1.639847652,-94.11357306
2.026868106,39.65768293,1.543853239,76.25474589,1.484113352,108.9718835
1.579482,-27.98685707,2.060695352,-60.13763913,2.114724253,-96.57906084
1.37454176,-34.7430046,1.534551426,-70.49789066,1.524939772,-106.5751041
1.525800444,-33.71658514,1.04192242,-68.7251966,1.265675783,-106.5507215
1.294637711,-38.2247517,1.751228243,-76.96767901,1.165591375,-120.7276389
1.683946488,-28.02511212,1.876388114,-57.86215832,1.487553815,-86.98866251
1.615852263,-37.01510349,2.228711753,-72.83258113,2.14945708,-107.9431919
1.415570757,-35.68791904,1.210932344,-76.99185703,0.750424898,-115.0501645
1.197542731,31.29971959,1.379605199,62.77686182,1.019958265,95.25264614
1.622049446,-34.40664602,1.773896094,-71.13308484,1.445444514,-104.7417935
1.415578285,-35.06379992,0.637365364,-71.47391042,1.113287334,-107.3886505
1.37166308,39.82213212,0.877698045,72.71195081,1.53486402,107.7034535
