"","Raw.PRS","Q.gprs","Q.gprs+","Q.lprs","Q.lprs+","Q.gPRS_T","Q.lPRS_T"
"1",0.495915664738907,0.505359468005952,0.552733318114178,0.511115268195346,0.529344434862012,0.505359468005952,0.511115268195346
"2",0.509630113599823,0.505902162664655,0.514040657393928,0.505201299118914,0.510079572495161,0.505902162664655,0.505199106636498
"3",0.576935647285673,0.582900284341597,0.535030667494633,0.600140536653925,0.529017006024552,0.582900284341597,0.600156878125311
"4",0.50070155597784,0.504758729023627,0.517228045365612,0.499884496868358,0.507953646082335,0.504758729023627,0.499884496868358
"5",0.54197160859674,0.538059746168578,0.515748473419541,0.524788224377392,0.538033554837164,0.538059746168578,0.524762033045974
"6",0.530128861103467,0.513123667102366,0.610610080145845,0.517157832278481,0.546884674257017,0.513123667102366,0.517155144984865
"7",0.521397174000406,0.516857832836291,0.523132164065738,0.518119417580819,0.516971051980027,0.516857832836291,0.518124394246477
"8",0.51014674981168,0.498844578865989,0.575837255534976,0.513492656845585,0.515772348053623,0.498844578865989,0.513498320674673
"9",0.510837632031442,0.510621468926554,0.488626873004176,0.49780152296733,0.514716285924834,0.510621468926554,0.49780152296733
"10",0.593537181772462,0.609031491384429,0.537775949540644,0.611865258924078,0.588326705973741,0.609031491384429,0.611865258924078
"11",0.528575933880703,0.48751672013485,0.592855200913494,0.495192213582732,0.55167853841553,0.48751672013485,0.495192213582732
"12",0.535405287290745,0.525235690969055,0.564351468668453,0.521791490252674,0.546205828582509,0.525235690969055,0.521790085030023
"13",0.543865025145557,0.538523472189668,0.499077695861946,0.515048278265468,0.498933491957625,0.538523472189668,0.515048278265468
"14",0.496664842420591,0.509520791973909,0.534452770490641,0.511297216215258,0.520584807501418,0.509520791973909,0.511292230927397
"15",0.498782283889382,0.500141405175865,0.502932525801006,0.501840986616544,0.502191780225901,0.500141405175865,0.501840442750483
"16",0.550303109996225,0.547668177159195,0.541980228731727,0.538523178867491,0.560254491017964,0.547668177159195,0.538541160921401
"17",0.50972517178045,0.525590777152789,0.58330326833828,0.530098476524704,0.539310664327062,0.525590777152789,0.530098476524704
"18",0.5221847728021,0.533990960828833,0.57789550649717,0.531715133556533,0.535685270939962,0.533990960828833,0.531715133556533
"19",0.544170943379134,0.55108918644309,0.566543596580356,0.541477908865576,0.541493279143665,0.55108918644309,0.541483571599608
"20",0.505220047890348,0.51100322021303,0.531728180992486,0.482653785814549,0.531424324993808,0.51100322021303,0.482648831640657
"21",0.539675878806858,0.522795480049058,0.59609593152222,0.519934236279652,0.571980479657612,0.522795480049058,0.519942065293979
"22",0.521845298059656,0.488186140676177,0.563089172129512,0.487255388628521,0.527547827271888,0.488186140676177,0.487259038636551
"23",0.521098535580842,0.510585968764957,0.558400802796111,0.518372105650543,0.484721334025122,0.510585968764957,0.518371100144391
"24",0.517648729946524,0.536714572192512,0.63145610516934,0.528763368983958,0.561823752228163,0.536714572192512,0.528770053475936
"25",0.499047240504553,0.518792158146387,0.600616822767604,0.530250246824754,0.544490627035839,0.518792158146387,0.530251840956649
"26",0.514892113095239,0.517725694444446,0.521083829365079,0.495164310515875,0.49637648809524,0.517725694444446,0.495171750992065
"27",0.523767161164674,0.518290548970261,0.535195915783057,0.521636625445138,0.518266505306969,0.518290548970261,0.52163796120421
"28",0.584419543613581,0.580380957569177,0.58364535033555,0.567146338243889,0.57671427763262,0.580380957569177,0.567141100129694
"29",0.515872778409431,0.527870863503082,0.61912811920292,0.452501346418527,0.590000598408234,0.527870863503082,0.452501346418527
"30",0.493146878221507,0.504920442830891,0.552982833579847,0.501377795706154,0.512912912912914,0.504920442830891,0.501374210030926
