"","Raw.PRS","Q.gprs","Q.gprs+","Q.lprs","Q.lprs+","Q.gPRS_T","Q.lPRS_T"
"1",0.660035854613146,0.662758230139479,0.662955725117543,0.678311232445043,0.678281771868204,0.662758230139479,0.678311232445043
"2",0.655281017120369,0.66105792612541,0.661550126507216,0.670443718644198,0.670246838491476,0.66105792612541,0.670437859115844
"3",0.677893038907584,0.674840782045221,0.675570820702506,0.690704637947178,0.690252709254572,0.674840782045221,0.690690732448944
"4",0.682238063883118,0.673414572791297,0.689487076952988,0.691800687719173,0.693452837317635,0.673414572791297,0.691800687719173
"5",0.648009625176868,0.64124386284824,0.651475870466668,0.657514637538791,0.660210828624386,0.64124386284824,0.657513636167914
"6",0.632997637788668,0.647025627685286,0.65912304477712,0.66372526601101,0.664196764232008,0.647025627685286,0.663723692602041
"7",0.635803606525158,0.653029595780921,0.675041150746855,0.668072650517555,0.673420712133122,0.653029595780921,0.668072650517555
"8",0.663821854490665,0.657405960315637,0.666020072014097,0.658905487882735,0.664669680022473,0.657405960315637,0.658905998621007
"9",0.637336351714692,0.638288230301242,0.638842925904181,0.651072917353496,0.65078667349047,0.638288230301242,0.651075010544451
"10",0.651454690410983,0.65718525770513,0.654787280185395,0.672833042106089,0.672688461204814,0.65718525770513,0.672833042106089
"11",0.644709983880045,0.654339034138059,0.66189109014775,0.671472448230144,0.673892826142943,0.654339034138059,0.671470063621362
"12",0.683295979081619,0.704007577576776,0.732390138477547,0.688065316577283,0.689946369967181,0.704007577576776,0.688065316577283
"13",0.65701899422879,0.655274260227349,0.6574244682366,0.665034987080271,0.665739403050948,0.655274260227349,0.665033900018588
"14",0.651166307848336,0.653474561308662,0.652589035077514,0.667236487512985,0.66753075048006,0.653474561308662,0.66723854051043
"15",0.653113044318176,0.661660766255526,0.663136918935489,0.677842801288431,0.678417093974021,0.661660766255526,0.67784070149799
"16",0.654813300662208,0.657247068890265,0.65667950175096,0.671272027439137,0.670217562601646,0.657247068890265,0.671269866650535
"17",0.65564024547205,0.666017977944583,0.671704300909194,0.675797217846147,0.67818346564524,0.666017977944583,0.675789495361361
"18",0.655436910215014,0.643790643538333,0.668201546894946,0.659838301919851,0.661753648219069,0.643790643538333,0.659837300693348
"19",0.669425668787213,0.668671244188892,0.671160080743823,0.696259991028462,0.69422355435935,0.668671244188892,0.696259991028462
"20",0.668992981176791,0.668980033229612,0.670502711818056,0.688048216083629,0.687964831303785,0.668980033229612,0.688047180247855
"21",0.620351079189283,0.613544845904077,0.623863089472498,0.630655615865879,0.628687915394972,0.613544845904077,0.630654092877899
"22",0.674440298507464,0.664741717832244,0.681917544385098,0.683532587896639,0.686138704470955,0.664741717832244,0.683532587896639
"23",0.654217409963627,0.643111927225142,0.664046458195765,0.656637107659712,0.66230367281466,0.643111927225142,0.656641127925873
"24",0.705992176386912,0.699536327825802,0.708782416019253,0.726057281978331,0.719437301674144,0.699536327825802,0.726057281978331
"25",0.651576551046627,0.645537356104688,0.655902856495127,0.659652163782463,0.662423801607093,0.645537356104688,0.659652163782463
"26",0.641373890691752,0.652732706219014,0.663175740725956,0.661863121263496,0.662037667560532,0.652732706219014,0.661860773107034
"27",0.639358043254779,0.644695840128545,0.645567995452415,0.665143928549735,0.664991501929399,0.644695840128545,0.665143928549735
"28",0.633778890617163,0.640627700427008,0.641199927496827,0.656578925182628,0.655849151249204,0.640627700427008,0.656577871357454
"29",0.641799340869712,0.642153239714215,0.644457368567724,0.664140404444283,0.662853040601942,0.642153239714215,0.66414191898998
"30",0.639598996966497,0.650067948788071,0.65424900811599,0.67039999326823,0.672694053744756,0.650067948788071,0.67039999326823
"31",0.662130884041333,0.658415614236514,0.66222732491389,0.665678989667051,0.668399540757751,0.658415614236514,0.665678989667051
"32",0.663985552357664,0.675138566844404,0.676985122296705,0.686924643094516,0.686482552456913,0.675138566844404,0.686924643094516
"33",0.683456863405687,0.680831180915407,0.684996978593469,0.695560537756887,0.695542489532029,0.680831180915407,0.695563880020749
"34",0.740377033904369,0.736362984732278,0.745537954268499,0.693283635581686,0.704393950254467,0.736362984732278,0.693283635581686
"35",0.663587478314473,0.659156654358242,0.66201195853873,0.664566320739589,0.666477146112016,0.659156654358242,0.66457465131342
"36",0.659701133557166,0.675173396897533,0.690650548788716,0.695488258678648,0.698079190612418,0.675173396897533,0.695488258678648
"37",0.68006471966341,0.684602915392272,0.677956518731711,0.705251856329565,0.70508043342927,0.684602915392272,0.705251856329565
"38",0.694680438184664,0.69746228482003,0.697782785602502,0.719523004694836,0.719937402190924,0.69746228482003,0.719526760563381
"39",0.697110423116615,0.70384333699524,0.705299776956623,0.68269582875595,0.683919238323513,0.70384333699524,0.682654216185625
"40",0.672236452413352,0.667353718082126,0.678479948771312,0.700008671522719,0.696843565730143,0.667353718082126,0.700015341924811
"41",0.672018157222045,0.670218466430666,0.67211588295751,0.694010839870343,0.691902599284958,0.670218466430666,0.694010839870343
"42",0.655558142453304,0.658143113788273,0.658342910359041,0.678313485773164,0.678697392407071,0.658143113788273,0.678313485773164
"43",0.645913839127745,0.657999857658237,0.667665063818227,0.667430500632016,0.668494054224192,0.657999857658237,0.66741997536084
"44",0.650917753459791,0.666669734537166,0.692031819952816,0.689325958172654,0.701618915262349,0.666669734537166,0.68930755094966
