"gePRS","lePRS","PC2","PC10","PC20","gaProp"
0.000673458582350132,0.00208409346450589,0.00146437416201087,0.00181785133434193,0.00179615484672087,0.000567265398970009
0.00229606459722376,0.00214646316935006,0.00159457947795558,0.000335530433410542,0.000322231855133873,0.00171500116076678
0.000553178319675424,0.0021170142375054,0.000362769017502632,0.000111328003570789,0.000912962682782287,0.000357216514980358
0.000432477260899916,0.000319836711200757,7.29371143861149e-05,0.000253106077767335,0.000267485324998262,0.000474034148557492
0.00228900924946508,0.0017664944817286,0.00230755000279262,0.00161921850998383,0.00129738252997847,0.00282702089211481
0.0060352306589561,0.00989481040266136,0.00405610606101413,0.00363399839628057,0.000951369153735813,0.0060776092158124
0.010119890276312,0.0112185965056618,0.00698741984440751,0.0071627242565215,0.00616189680855734,0.00757653482833676
0.00040749951661908,0.000333662743224233,0.000505555038574289,0.000305510191291211,0.000902741160115085,0.000439146532696579
0.00735318357700134,0.00888977493550628,0.00821770340220836,0.00796770072613905,0.00533177573018921,0.0076252560666986
0.00348844883017777,0.00518254050026963,0.00262155432234412,0.00312819292971522,0.00376605124182839,0.00348019307890847
0.00164275198732603,0.000493882640500333,0.00165882293085485,0.0015270921922023,2.71315347572611e-08,0.00241765909069889
0.00486926353763448,0.00662402020623127,0.00358390827798383,0.00348123214788458,0.00359245958674729,0.00388241316888419
0.000178904537740763,0.000166334424790621,1.95874350360439e-05,0.000150703013784246,0.000123331516710606,0.000286780097546919
0.00123343161244632,0.0010665572869828,0.00110489119103543,0.00298419845343911,0.00284564136110517,0.00143327154125618
3.01445655308764e-05,0.000170904622467892,6.50573417675411e-06,1.87810504025335e-05,0.000342411074393439,3.06134413010565e-05
1.95702312781706e-05,0.0001871280790255,0.000199911635912617,1.11383776564441e-05,0.000175481783353943,3.22509693994751e-05
0.00116143673462183,0.00118290931169114,0.00175368651442512,0.00286188399656834,0.00338961979335634,0.00197972964417046
2.36877883702679e-05,0.000284808328923409,0.000200859815390428,0.000819487269378978,0.00281866119560687,2.79635937248555e-05
0.00640519500082434,0.00562471652612161,0.00665310185305575,0.00480426572130517,0.00381883674175353,0.00701849366130501
0.00922046794427836,0.014732872467938,0.0102209987320505,0.00951531331055008,0.00746324754245065,0.00955614116127686
0.00200474255663916,0.0016472654270833,0.00220620867550627,0.00185595187652716,0.00785129556517617,0.00128626541856169
0.000852834322977628,0.00159062248246258,0.000616634740816843,0.000146932882401626,0.000890689177321477,0.000832332716499897
0.000699387456872562,0.000507730712584247,0.000778647717662911,0.000690139927582626,8.89272695829777e-05,0.000565429610303466
0.00995872087671268,0.0031733801450619,0.00647101552430074,0.00532910099379289,0.00262957265336668,0.009784530216325
0.000137440549169769,9.05592340319053e-05,8.2502759493443e-05,0.000464193527665468,0.000136958232750128,0.000132318462844462
0.000162308039462786,0.000111457601660138,1.53589022965594e-05,1.24204484713078e-05,6.8758559270909e-05,3.6948241787498e-06
0.000492178133902323,0.000293941981591637,0.00269424356033869,0.00271248638452027,0.00190269731763862,0.00092221376513605
0.000177018041569937,0.000222688045500673,0.000535201377497794,0.000615780143396354,0.000439679673731562,0.000155154379614255
0.00187184585299414,0.00119008521996585,0.000819789041496893,0.0009771567046056,0.00214551047792518,0.00326922086849414
0.000135208077042024,0.00023021289311743,0.000330757965328958,0.000385063546861538,0.000472967230086922,8.16136219811514e-05
0.00491819622094477,0.00479383607269424,0.00276037971035433,0.00272694655852399,0.0024260701937814,0.00508644115679028
8.2810203397875e-06,2.12032535385862e-06,9.05990664669442e-06,0.000633409053980171,0.000547334648878932,7.81820731761548e-05
0.00162054295178944,0.00330722772657051,0.00165093944129603,0.00176208843039986,0.00273717151546115,0.00165489255416032
0.000443415827937083,0.000149456267916973,0.000703915915079274,0.000582049987837034,4.26754185895382e-05,0.000359826412817442
0.00279628838944723,0.00189499665006839,0.00136852900802315,0.000736520636817096,0.00026058839153707,0.00240456883426076
0.000282649027293769,0.000121817303838604,6.93762890042632e-05,0.000130342558701249,0.000430328745154859,0.0003876775372397
6.16048155396645e-06,5.77306688227165e-05,0.000187607750981087,0.000269616818365266,0.000170904240208792,1.23530219628031e-05
0.00276611983205789,0.00110028975609331,0.00191261935464851,0.00246719822739096,0.0021099288052986,0.00237239497487418
0.00491574198409766,0.00385445493525826,0.00355176119094304,0.00339051176951754,0.00401485890630511,0.00446292012666036
0.000354056424027888,0.000734324901915409,0.000111316133254762,0.000219357210879684,0.000183341814682989,0.000286413889882628
8.57347265702005e-05,2.05092188897259e-05,0.000139976219135256,0.000301128952153808,0.000431607169746293,0.000160306832488259
0.000402597673404931,0.000528581026804169,9.89136119171344e-05,1.99130169205617e-05,9.99636257728396e-06,0.000511090736261454
0.000817325339910431,0.00168332551583391,0.000552677683852176,0.000310057502271476,0.000998438017832284,0.000823077038310446
0.00806804954466546,0.00581831417559743,0.00528174566251182,0.00525927759901398,0.00391072757364423,0.00793374415776807
0.000718316086214684,0.000636030169866199,6.84482700754715e-05,2.42365470547791e-05,2.26594478106454e-05,0.000278185339957017
0.0042677505572314,0.00552721627047627,0.00550034565812102,0.00584770742838743,0.00918257561924696,0.00454802614550777
0.00016333588190557,0.000167202091392174,0.000138871579590977,0.000251139441768079,0.000117910580941038,0.000205711364529252
