rPRS_homo_PRS,ePRS_homo_PRS,rPRS_hetero_PRS,ePRS_hetero_PRS
1.409615884,0.786534726,1.807217783,-10.01417422
1.886014054,-0.613271561,0.785876559,-6.111596647
1.437786584,-1.802534801,1.500346141,-4.97657122
1.739679365,1.899519789,1.492316862,-8.526254219
1.360108891,2.064159017,1.597463784,-4.868717374
1.88257646,3.206214623,1.926005673,-6.852277086
1.645697467,2.552677569,1.907291783,-5.299842095
1.008384753,0.749851195,1.753737117,-6.691516789
1.54002946,2.879765098,1.637969518,-3.726770098
1.737033057,-1.347095249,1.156505238,-6.381734262
1.304118915,3.299887282,1.238984485,-7.22438735
1.195620215,-0.95279843,1.278847322,-5.719839546
1.919460161,0.812786367,1.344890785,-5.104770285
1.43070916,3.701201492,1.762105667,-5.086049527
1.332551697,2.326715502,1.089510105,-4.485478974
1.418264723,-0.434640244,2.063755633,-4.671326328
2.299290769,3.948806104,1.763384267,-2.541628413
1.601365167,0.885932323,1.495022285,-4.591296793
1.5739395,0.835694049,1.324874454,-4.01488832
1.905111982,-1.822689517,1.582259442,-5.948004086
1.364179417,1.126007383,1.587396015,-4.296481717
1.444947781,-0.115719928,1.70987716,-7.77948653
1.919789351,2.531744595,0.657632022,-7.616511268
1.36468694,1.964133708,1.18568354,-3.277231946
1.239600164,1.59093762,1.885783977,-6.955976321
1.955907679,1.181780446,2.036189258,-3.783801197
0.869168715,1.678233391,2.076100121,-0.448919359
1.255258746,4.7442999,1.619703697,-2.455269676
1.202857763,3.213987807,1.461848348,-5.079813847
1.709524723,4.662944242,1.965021062,-3.823149906
1.232931797,1.644038353,1.263446703,-2.098113956
1.644131329,2.339281471,1.340367596,-6.098570813
1.710385233,-0.436881775,1.381415811,-2.03975823
1.595004831,3.274397987,1.638746151,-6.328353151
2.018877294,2.032474049,1.726690645,-5.171112537
1.721352784,-0.090310577,1.354794213,-4.168144571
1.857446406,0.174112238,1.707758972,-4.83841687
2.03114161,3.537785252,1.646147774,-4.498195963
1.516689846,-1.537881989,1.401332826,-10.27865924
1.709258645,1.100601263,1.076474306,-7.702740947
1.588718853,3.867823045,1.775596792,-0.304408171
2.324439187,4.18747397,1.469826336,-1.689699006
1.47795418,0.244994427,1.448079641,-4.483475563
1.558832822,1.548786121,1.541088337,-5.86481126
1.803916873,0.484809346,2.199189193,-7.875628449
2.042395019,-0.405201301,1.406774184,-6.519593323
1.118408826,3.823374218,1.676186436,-4.851224144
1.578174824,0.695261057,1.657125224,-2.911013764
1.085185461,0.761655728,1.711072551,-5.757802925
1.752599651,0.950821564,2.023539032,-4.994472016
1.615741585,0.362175912,1.559161166,-3.555159715
1.802182757,0.457597264,1.276987981,-4.906172147
1.521052309,0.598457614,2.234850044,-3.019984474
1.75003403,2.868314434,1.866696365,-3.655639462
1.54582482,1.442145201,1.86314065,-1.685778677
1.789041334,-2.181958073,1.317231706,-8.519103823
2.080552628,-0.39985072,2.135052734,-0.503315302
1.583580187,-0.309236526,1.273110867,-5.47457543
1.747801567,4.642195129,1.691670512,-2.834278159
1.217968759,1.844453325,1.887026494,-2.013353749
1.602224792,-0.247988507,1.743354098,-5.235874476
1.795282335,2.089094065,1.264989772,-3.948048897
1.507137929,1.403650674,1.606246134,-3.216996263
1.807250498,-0.568741535,1.412189245,-6.44749957
1.286863947,0.979229744,1.855410184,-4.62945826
1.741249453,1.90422274,2.072771645,-5.172515782
0.976400068,4.245941099,1.543553234,-8.824307963
1.460787352,0.444174405,2.542241658,-1.063480556
1.290425124,-0.065994205,1.598021387,-5.13131289
1.438566989,3.789497426,1.994948519,-1.792729456
1.220843715,6.18584571,1.286410437,-3.73303672
